,open,high,low,close,volume
2011-03-16,84.07,84.86,81.93,83.1,13273292
2011-03-17,84.81,87.5,84.12,87.05,11250013
2011-03-18,87.76,88.15,85.32,85.93,11644122
2011-03-21,87.14,89.74,87.14,89.73,8191039
2011-03-22,89.32,89.73,88.27,88.77,6450140
2011-03-23,88.72,89.02,87.63,88.5,4817641
2011-03-24,88.86,88.99,86.71,88.1,6526816
2011-03-25,87.73,87.92,86.38,86.89,10846703
2011-03-28,86.52,91.35,86.27,90.43,15766719
2011-03-29,90.75,94.69,90.16,94.36,13462970
2011-03-30,94.83,94.83,92.52,93.65,8208551
2011-03-31,94.26,95.29,93.15,93.26,7498349
2011-04-01,94.1,95.0,93.22,93.7,5995226
2011-04-04,94.33,94.86,92.64,92.77,6652129
2011-04-05,92.59,94.18,92.39,92.87,7529671
2011-04-06,93.61,93.9,90.89,91.94,7264892
2011-04-07,92.14,92.4,90.71,91.62,6259156
2011-04-08,92.7,92.76,90.41,90.85,7807340
2011-04-11,90.98,91.88,88.4,88.8,8314934
2011-04-12,87.79,88.18,85.55,86.24,10696388
2011-04-13,86.86,87.28,85.65,85.79,7486141
2011-04-14,85.14,86.35,84.72,86.02,6720501
2011-04-15,86.7,87.18,85.19,86.66,8167287
2011-04-18,85.11,85.4,83.6,84.75,9275341
2011-04-19,84.64,86.2503,84.46,86.13,8701780
2011-04-20,87.62,88.08,87.1,87.89,8510704
2011-04-21,89.41,91.16,88.97,89.78,10960542
2011-04-25,89.56,89.78,87.6,88.05,5486131
2011-04-26,88.19,89.74,88.02,89.47,5982794
2011-04-27,89.84,90.13,87.33,89.38,7657469
2011-04-28,88.1,89.74,87.96,89.11,4793925
2011-04-29,88.81,89.9999,87.95,89.75,6892081
2011-05-02,89.94,90.92,86.9,87.79,8568089
2011-05-03,87.21,87.93,85.19,85.85,8361994
2011-05-04,85.89,85.89,83.81,84.79,8645289
2011-05-05,83.01,85.4,81.74,82.84,13360929
2011-05-06,84.09,85.13,81.96,82.66,10726747
2011-05-09,83.4,84.03,82.67,83.59,8671211
2011-05-10,84.03,85.24,83.48,84.49,7287075
2011-05-11,84.27,84.27,80.83,82.25,12674123
2011-05-12,82.19,84.07,81.33,83.52,13431129
2011-05-13,83.68,84.25,81.72,82.71,10235943
2011-05-16,82.2,83.66,81.85,82.19,9594220
2011-05-17,81.41,82.66,80.85,82.06,11797217
2011-05-18,82.49,84.41,82.25,83.75,8621966
2011-05-19,84.15,84.6,82.85,83.58,7774272
2011-05-20,83.33,84.32,82.3,83.5,8245643
2011-05-23,81.86,82.42,81.38,82.08,6317365
2011-05-24,82.82,84.52,82.82,83.28,9057870
2011-05-25,82.78,84.77,82.78,84.09,10897510
2011-05-26,84.0,85.43,83.85,85.19,6460334
2011-05-27,85.49,86.48,84.56,84.71,6360888
2011-05-31,86.07,86.34,84.84,85.72,7383105
2011-06-01,85.73,86.14,82.86,83.19,8074877
2011-06-02,83.31,84.75,82.9,84.29,8083287
2011-06-03,82.87,86.15,82.67,85.04,8344249
2011-06-06,85.22,85.48,82.81,83.06,7455649
2011-06-07,84.21,84.59,82.84,82.88,5988441
2011-06-08,82.9,84.585,82.89,83.73,7472006
2011-06-09,84.18,86.52,84.11,85.84,8700453
2011-06-10,85.2,85.52,83.57,83.66,7337228
2011-06-13,83.77,84.49,81.66,82.7,7053030
2011-06-14,84.25,85.15,83.9474,84.5,7476352
2011-06-15,83.54,85.24,82.04,82.66,8695207
2011-06-16,82.76,83.41,81.4,82.25,8469244
2011-06-17,82.94,82.94,81.33,81.79,7942424
2011-06-20,81.37,82.73,80.91,82.13,6434561
2011-06-21,82.48,84.18,82.38,83.5,6475967
2011-06-22,83.09,84.79,82.89,83.58,6004437
2011-06-23,81.04,83.21,80.25,83.07,10391302
2011-06-24,83.12,83.2,80.64,80.92,9957969
2011-06-27,80.31,81.27,79.55,80.64,8412201
2011-06-28,81.48,84.61,81.36,84.35,11133458
2011-06-29,84.82,86.4,84.0,85.21,9570218
2011-06-30,85.5,86.79,85.5,86.4,8681513
2011-07-01,85.89,87.74,85.25,87.6,7299537
2011-07-05,87.37,88.73,87.15,88.35,6140695
2011-07-06,88.5,89.27,87.85,89.11,6884037
2011-07-07,89.99,90.89,89.3,90.4,8340314
2011-07-08,88.38,90.29,88.2208,89.96,6410767
2011-07-11,88.14,88.9,87.46,88.07,6201895
2011-07-12,87.39,87.97,86.68,86.84,8460094
2011-07-13,86.74,88.65,86.54,87.0,7116891
2011-07-14,87.23,87.63,85.76,85.92,6904962
2011-07-15,86.64,88.2,86.47,87.99,8110395
2011-07-18,88.04,88.04,86.7,87.21,7884635
2011-07-19,88.14,88.99,87.66,88.7,6959871
2011-07-20,89.55,89.55,88.11,88.41,6263635
2011-07-21,88.98,91.02,88.97,90.96,11175360
2011-07-22,93.17,94.44,92.25,93.81,15465666
2011-07-25,92.75,95.53,92.71,94.7,10267092
2011-07-26,94.54,94.96,93.66,93.93,8456502
2011-07-27,93.12,93.79,91.35,91.68,8744944
2011-07-28,91.52,92.73,91.36,91.4,6977106
2011-07-29,90.04,91.54,89.8,90.37,9177318
2011-08-01,91.86,92.22,89.1904,90.21,8593981
2011-08-02,89.21,90.9,87.53,87.62,10362617
2011-08-03,87.5,87.66,84.316,87.19,11528990
2011-08-04,85.28,85.54,80.61,80.79,19612527
2011-08-05,82.5,82.85,77.24,80.88,18744313
2011-08-08,77.27,79.34,73.11,73.67,20293144
2011-08-09,75.56,77.78,72.82,77.63,22087094
2011-08-10,77.6,78.0,73.48,73.81,18124141
2011-08-11,74.91,78.8,72.8,77.53,17316364
2011-08-12,78.81,79.08,77.01,77.99,8807247
2011-08-15,78.91,80.64,78.88,80.07,9052903
2011-08-16,79.09,80.26,77.69,78.63,9374074
2011-08-17,80.19,81.33,78.9,79.52,9077119
2011-08-18,76.5,77.27,73.46,74.41,14628635
2011-08-19,73.0,75.66,72.36,73.12,13283538
2011-08-22,75.38,75.49,72.26,72.49,8767228
2011-08-23,72.96,76.17,72.13,76.13,8674957
2011-08-24,75.8,76.4,74.351,76.23,8635109
2011-08-25,76.7,77.23,72.77,73.11,11468392
2011-08-26,73.05,75.41,72.1,74.84,12202425
2011-08-29,76.41,77.37,75.54,77.25,7015140
2011-08-30,76.79,78.02,75.69,77.33,10297559
2011-08-31,77.91,79.29,77.44,78.12,11718799
2011-09-01,78.19,79.54,76.42,76.5,11194891
2011-09-02,74.51,75.35,73.37,74.42,8994708
2011-09-06,71.95,74.5,71.35,74.32,10659880
2011-09-07,75.65,76.895,75.4,76.79,7944992
2011-09-08,75.35,76.74,75.13,75.47,10683624
2011-09-09,73.87,74.12,71.33,71.8,13357646
2011-09-12,70.79,72.41,69.94,72.38,11098548
2011-09-13,72.21,72.795,70.62,72.13,8844849
2011-09-14,72.7,73.89,70.34,72.93,10927660
2011-09-15,74.31,74.59,72.84,74.22,8775416
2011-09-16,74.95,75.25,72.16,72.84,11825628
2011-09-19,70.4,71.29,69.25,70.76,12894726
2011-09-20,71.36,71.45,69.28,69.29,13278678
2011-09-21,69.38,69.45,65.12,65.15,18366015
2011-09-22,62.54,63.2,59.88,61.22,24608618
2011-09-23,60.55,62.22,60.23,61.2,16740375
2011-09-26,61.77,63.39,58.77,63.27,19666719
2011-09-27,64.85,66.18,62.77,63.42,16527992
2011-09-28,63.59,63.95,60.1,60.33,12653295
2011-09-29,62.19,62.68,60.03,61.33,12356382
2011-09-30,60.0,61.25,59.38,59.73,14908945
2011-10-03,58.9,59.95,57.72,57.72,15980583
2011-10-04,56.12,59.32,54.79,59.11,20236027
2011-10-05,59.27,62.1,58.25,61.58,15234241
2011-10-06,62.51,64.25,61.02,63.89,14736597
2011-10-07,63.95,64.08,61.92,62.64,12000903
2011-10-10,64.61,66.08,64.61,65.79,10362085
2011-10-11,65.46,68.04,65.25,66.82,14478886
2011-10-12,67.36,68.62,66.82,67.31,12050176
2011-10-13,67.0,67.58,65.74,67.2,10978544
2011-10-14,68.64,70.99,68.53,70.94,11508203
2011-10-17,69.74,69.93,67.17,67.52,12283303
2011-10-18,67.54,70.4,66.6,69.91,10030192
2011-10-19,69.83,70.93,67.73,67.9,10644496
2011-10-20,68.0,68.8099,66.5,67.99,13141771
2011-10-21,68.64,69.28,66.52,67.38,21589567
2011-10-24,67.78,69.95,67.4,69.88,11199364
2011-10-25,70.32,70.52,67.78,68.03,11878362
2011-10-26,69.34,70.34,67.31,69.84,11805113
2011-10-27,72.76,76.56,72.76,74.54,18201405
2011-10-28,74.95,76.93,74.64,75.96,10836737
2011-10-31,74.99,75.49,73.11,73.47,10499767
2011-11-01,69.81,72.43,69.0,71.13,15946561
2011-11-02,72.89,72.9764,71.4,72.74,8187521
2011-11-03,73.81,76.2,73.13,75.93,11993837
2011-11-04,74.75,76.73,73.92,74.97,10631820
2011-11-07,75.02,76.47,73.97,75.33,6756175
2011-11-08,75.94,77.05,74.72,76.83,8863983
2011-11-09,74.4,74.69,72.86,73.09,12586017
2011-11-10,74.34,74.88,72.82,74.05,7601107
2011-11-11,75.22,77.15,74.37,76.54,8356852
2011-11-14,75.51,76.63,75.0,75.62,5961523
2011-11-15,75.3,76.63,74.51,75.97,7884815
2011-11-16,75.35,76.87,74.69,74.77,13266057
2011-11-17,74.68,74.97,70.89,71.71,12046341
2011-11-18,72.76,72.76,70.16,71.32,9633658
2011-11-21,69.94,70.65,68.65,70.18,8494917
2011-11-22,69.79,70.49,68.6,68.95,7934259
2011-11-23,67.95,68.3625,66.18,66.5,9720775
2011-11-25,66.11,67.81,66.06,66.37,3545187
2011-11-28,68.49,69.87,68.44,69.22,8296507
2011-11-29,69.84,71.33,69.07,70.43,7447372
2011-11-30,73.18,75.5,73.04,75.33,12319761
2011-12-01,75.16,76.05,74.25,74.87,7551388
2011-12-02,75.9,76.72,74.84,75.01,7055273
2011-12-05,76.29,77.39,75.93,77.15,9642000
2011-12-06,76.86,77.65,75.9285,76.65,7792416
2011-12-07,75.79,76.1,74.342,75.09,9843936
2011-12-08,74.24,75.35,71.65,71.95,12316807
2011-12-09,72.14,74.56,72.04,74.15,10490392
2011-12-12,72.85,72.99,70.58,71.92,9502596
2011-12-13,72.58,73.76,70.01,70.41,9915696
2011-12-14,69.18,69.51,66.82,67.0,13812527
2011-12-15,68.08,68.48,66.18,66.33,8450452
2011-12-16,67.13,67.95,65.81,66.91,11768209
2011-12-19,67.42,67.42,64.95,65.07,8046676
2011-12-20,66.7,68.58,66.69,68.17,8083923
2011-12-21,68.39,68.62,66.36,67.71,7832403
2011-12-22,68.4,68.4,66.72,67.93,8722996
2011-12-23,68.25,69.14,68.01,69.14,4507919
2011-12-27,69.06,69.56,68.6,68.6,4345709
2011-12-28,68.59,69.0,66.79,67.04,6324339
2011-12-29,67.07,67.74,67.0,67.41,4690818
2011-12-30,67.24,68.54,67.14,68.31,5536328
2012-01-03,70.4,70.89,69.6,70.09,7669265
2012-01-04,70.13,70.44,69.23,69.56,6569169
2012-01-05,68.98,69.07,67.14,68.07,10804250
2012-01-06,68.5,68.73,67.355,67.78,8985998
2012-01-09,68.27,68.96,67.88,68.82,5623783
2012-01-10,70.46,71.06,70.2501,70.75,8985179
2012-01-11,70.59,70.598,69.41,70.16,7503792
2012-01-12,70.58,71.49,68.1923,69.7,8774953
2012-01-13,69.01,69.15,67.72,67.99,9713097
2012-01-17,69.37,69.74,67.4,67.64,11759989
2012-01-18,67.14,70.66,67.12,70.63,13097366
2012-01-19,71.22,73.0,71.22,72.86,12787412
2012-01-20,73.8,75.75,72.6,73.8,18105826
2012-01-23,74.22,74.8,73.09,74.16,9017584
2012-01-24,73.17,74.59,72.87,74.59,7402711
2012-01-25,74.14,76.52,73.1,76.19,10428155
2012-01-26,77.04,77.75,75.8,75.98,7840005
2012-01-27,75.85,77.49,75.85,76.66,7239375
2012-01-30,75.47,76.28,74.45,76.27,6593005
2012-01-31,76.95,76.95,74.95,75.17,8978431
2012-02-01,76.35,77.15,75.11,76.12,7261070
2012-02-02,76.25,77.45,75.97,77.31,7419872
2012-02-03,78.31,78.7,77.71,78.66,7383109
2012-02-06,78.2,79.74,77.75,79.64,5361249
2012-02-07,79.34,79.69,78.0,79.5,7554025
2012-02-08,79.82,79.87,77.97,78.41,6645141
2012-02-09,78.81,78.94,77.73,78.64,7369971
2012-02-10,77.69,78.04,76.62,77.17,7209558
2012-02-13,78.09,78.41,77.12,78.03,4708876
2012-02-14,77.71,77.98,76.95,77.8,4414863
2012-02-15,78.16,78.17,76.74,77.36,6184669
2012-02-16,77.12,78.29,76.5,78.06,10820206
2012-02-17,78.58,78.668,77.58,77.74,8605097
2012-02-21,78.93,79.77,78.26,78.58,8227488
2012-02-22,78.55,80.78,78.55,80.0,8156819
2012-02-23,80.4,80.4,78.56,79.59,7400012
2012-02-24,80.1,80.5,79.6,79.85,5084078
2012-02-27,79.22,79.67,78.05,79.11,5597115
2012-02-28,79.1,79.54,78.22,78.78,6348393
2012-02-29,78.81,79.42,77.4,77.61,8363351
2012-03-01,78.14,78.89,77.4,78.37,6116915
2012-03-02,78.0,78.32,76.73,77.19,6636890
2012-03-05,76.81,76.88,75.03,75.69,6201048
2012-03-06,73.86,74.08,72.73,73.79,10356695
2012-03-07,74.39,74.93,73.91,74.7,6386140
2012-03-08,75.21,76.34,75.02,75.82,6017799
2012-03-09,75.99,76.76,75.51,75.84,6691373
2012-03-12,75.65,75.76,73.75,74.02,8035263
2012-03-13,74.4,74.9,73.52,74.77,9371690
2012-03-14,74.66,74.8,73.53,74.02,8145714
2012-03-15,74.17,75.06,73.26,74.92,6749168
2012-03-16,75.32,77.04,75.07,76.76,11838934
2012-03-19,76.75,77.43,76.6,77.1,5659588
2012-03-20,76.24,76.24,75.24,75.71,6569623
2012-03-21,75.17,75.17,73.67,74.01,14069592
2012-03-22,73.02,73.11,71.12,71.98,15867104
2012-03-23,72.33,73.51,71.56,73.18,11529209
2012-03-26,73.61,73.84,71.97,72.4,10053072
2012-03-27,72.33,72.36,69.93,69.96,16967656
2012-03-28,69.61,70.7,68.6,69.78,10486494
2012-03-29,69.33,70.46,68.33,69.14,11229670
2012-03-30,69.88,70.42,68.8025,69.93,10877585
2012-04-02,69.6,71.09,69.1,69.84,8855632
2012-04-03,70.5,70.65,68.99,69.73,10094670
2012-04-04,68.81,69.59,68.24,68.69,6752610
2012-04-05,68.54,69.4,68.28,68.42,7971254
2012-04-09,67.49,68.65,67.25,67.59,6456154
2012-04-10,67.36,68.06,66.45,67.26,11014996
2012-04-11,68.74,68.9,68.0,68.12,8967323
2012-04-12,68.46,70.42,68.13,70.34,9136808
2012-04-13,69.91,70.2,68.32,68.38,7561794
2012-04-16,68.75,69.08,67.36,67.44,6851327
2012-04-17,68.63,69.66,68.5,69.35,8246483
2012-04-18,69.37,70.81,69.27,69.93,7650622
2012-04-19,70.12,71.25,69.37,69.8,9068361
2012-04-20,72.73,74.52,71.61,71.7,19486352
2012-04-23,70.77,72.25,69.89,71.19,10056110
2012-04-24,71.5,73.5,71.19,72.71,9015008
2012-04-25,73.65,74.92,73.15,74.46,10808478
2012-04-26,73.86,74.72,73.27,74.25,7062176
2012-04-27,74.54,74.73,73.5,73.95,6885128
2012-04-30,73.34,74.28,73.34,74.14,5018174
2012-05-01,74.16,76.19,73.79,75.13,6783174
2012-05-02,74.46,74.685,73.83,74.17,6132024
2012-05-03,74.2,74.29,72.18,72.61,6814234
2012-05-04,71.89,71.89,69.45,69.96,9632724
2012-05-07,69.81,71.1,69.35,70.6,5584138
2012-05-08,69.92,70.6,68.37,70.39,8521503
2012-05-09,69.24,70.59,68.74,69.64,7296416
2012-05-10,70.5,71.18,69.2,69.44,5869536
2012-05-11,68.84,70.15,68.66,68.8,5170266
2012-05-14,67.82,67.82,66.85,67.25,6861998
2012-05-15,67.38,67.62,65.28,65.52,7730693
2012-05-16,65.76,67.0,64.2,64.81,10071007
2012-05-17,64.54,65.65,64.15,64.75,9274674
2012-05-18,64.91,65.8,63.88,64.06,9286911
2012-05-21,64.82,66.86,64.21,66.76,7711774
2012-05-22,67.07,67.77,65.84,66.4,8172377
2012-05-23,65.63,67.26,64.895,67.18,6912986
2012-05-24,67.58,67.65,65.11,65.85,8848544
2012-05-25,65.52,66.33,65.11,65.41,6177606
2012-05-29,66.06,68.13,66.02,67.24,7034632
2012-05-30,66.07,66.08,63.8,64.18,9793134
2012-05-31,63.81,64.01,61.23,63.25,15050933
2012-06-01,61.63,62.7,60.87,62.07,12231345
2012-06-04,62.1,62.29,60.75,62.21,12006460
2012-06-05,61.92,63.28,61.54,62.24,7093120
2012-06-06,63.19,64.75,62.93,64.59,12186772
2012-06-07,65.77,66.5,64.1,64.43,8169609
2012-06-08,63.95,64.7,62.84,64.54,6758657
2012-06-11,65.5,65.73,63.92,64.07,7745381
2012-06-12,64.46,65.14,63.7901,64.93,6297440
2012-06-13,64.47,65.56,63.49,63.95,6784083
2012-06-14,64.13,65.59,63.84,65.38,5945797
2012-06-15,66.14,66.765,65.51,66.46,9564076
2012-06-18,65.49,66.7,65.39,66.54,6647827
2012-06-19,67.11,67.69,66.6,67.15,5267507
2012-06-20,66.83,67.23,65.0,65.54,9315504
2012-06-21,65.2,65.47,62.43,62.56,9461155
2012-06-22,62.83,63.07,61.2,61.56,12128411
2012-06-25,60.75,60.93,59.68,60.06,10411165
2012-06-26,60.17,60.45,59.12,59.67,10251440
2012-06-27,60.1,61.8,60.01,61.47,9086071
2012-06-28,61.48,62.88,61.21,62.72,8758202
2012-06-29,64.42,65.48,64.02,64.91,10193404
2012-07-02,64.86,66.01,64.4786,64.94,6916664
2012-07-03,65.82,67.38,65.58,67.34,5385133
2012-07-05,67.05,67.14,65.85,66.1,5128163
2012-07-06,65.09,66.1,64.57,65.17,6731797
2012-07-09,64.83,66.29,64.49,65.82,5597709
2012-07-10,66.05,66.36,64.5,64.97,7977820
2012-07-11,65.18,66.15,64.9,65.66,6956430
2012-07-12,64.82,65.74,64.19,65.39,5837234
2012-07-13,65.44,66.93,65.42,66.72,5068127
2012-07-16,66.27,66.79,65.54,66.3,5673704
2012-07-17,66.95,67.95,66.08,67.79,8776399
2012-07-18,67.44,69.18,67.26,68.76,7002050
2012-07-19,68.87,69.39,68.27,68.64,8951723
2012-07-20,69.92,70.44,68.8,69.33,12357883
2012-07-23,68.37,69.79,67.52,69.55,8057778
2012-07-24,69.5,69.65,67.04,67.94,8154870
2012-07-25,68.22,68.86,67.4601,68.25,6464527
2012-07-26,70.01,71.67,69.34,71.31,10057718
2012-07-27,71.77,73.47,71.185,72.96,9535380
2012-07-30,72.82,72.86,72.09,72.54,6438101
2012-07-31,72.16,72.76,71.01,71.26,6820097
2012-08-01,71.41,72.48,70.26,71.68,6387663
2012-08-02,70.45,71.54,69.85,70.83,6358468
2012-08-03,72.5,72.84,71.71,72.39,5083518
2012-08-06,72.67,72.88,72.04,72.4,4008013
2012-08-07,72.83,74.22,72.66,73.61,8111862
2012-08-08,72.93,73.85,72.78,73.66,6903815
2012-08-09,73.46,74.4,73.1,74.33,5763263
2012-08-10,74.04,75.47,73.77,75.35,7304780
2012-08-13,75.13,75.4,74.6,75.2,6294439
2012-08-14,75.41,75.68,74.15,74.47,5864100
2012-08-15,74.39,74.4999,73.3,73.87,4853291
2012-08-16,74.02,75.11,73.56,74.98,5303473
2012-08-17,75.13,75.24,74.53,74.78,5107321
2012-08-20,74.49,74.83,74.1,74.34,4984132
2012-08-21,74.6,74.99,74.145,74.35,5131462
2012-08-22,74.0,74.97,73.83,74.82,4720319
2012-08-23,74.71,74.87,73.85,74.19,4871093
2012-08-24,74.0,74.75,73.72,74.59,3783693
2012-08-27,74.68,75.43,74.33,74.85,4279031
2012-08-28,74.41,74.78,73.98,74.38,4771987
2012-08-29,74.4,74.4,72.87,72.96,6009819
2012-08-30,72.5,72.5,71.47,71.6,6167299
2012-08-31,72.1,72.79,71.73,72.38,5754551
2012-09-04,72.12,72.34,70.72,71.42,7177207
2012-09-05,71.32,72.1,70.67,71.25,6498965
2012-09-06,71.87,73.63,71.86,72.46,8041077
2012-09-07,72.68,73.65,72.58,73.17,5466658
2012-09-10,73.05,73.8,72.68,72.69,4900122
2012-09-11,72.81,73.71,72.61,73.66,5165628
2012-09-12,74.36,74.73,74.05,74.32,5425854
2012-09-13,74.51,75.96,74.239,75.67,6425620
2012-09-14,77.78,78.47,77.25,77.6,8626532
2012-09-17,77.29,78.27,76.81,77.14,6259139
2012-09-18,76.86,76.87,75.31,76.23,7165172
2012-09-19,76.13,76.3,74.3,74.71,6221501
2012-09-20,74.32,75.285,73.75,75.23,6961953
2012-09-21,75.95,76.0,74.5,75.02,8947909
2012-09-24,74.02,74.8,74.0,74.26,4747153
2012-09-25,74.56,74.56,72.59,72.69,9193634
2012-09-26,72.34,72.58,71.71,72.05,5104977
2012-09-27,72.49,73.53,72.02,73.24,6132134
2012-09-28,73.32,73.32,71.99,72.33,5769789
2012-10-01,72.99,73.68,72.365,72.58,4289807
2012-10-02,72.89,73.2,71.92,72.26,4760746
2012-10-03,72.25,72.53,70.72,71.19,5846685
2012-10-04,71.66,71.96,71.21,71.67,5122014
2012-10-05,72.4,72.59,71.28,71.49,5798652
2012-10-08,70.93,71.75,70.7,71.61,3480206
2012-10-09,71.61,72.42,71.57,71.73,3933672
2012-10-10,71.66,71.75,70.87,71.08,4343946
2012-10-11,72.22,72.84,72.0,72.42,4533946
2012-10-12,72.75,72.91,71.66,72.19,3598801
2012-10-15,72.21,73.01,71.53,72.76,4638157
2012-10-16,73.19,73.995,73.15,73.52,5731660
2012-10-17,73.53,74.76,73.05,74.55,5799485
2012-10-18,74.55,75.09,74.05,74.8,6578578
2012-10-19,75.47,75.7,73.75,74.0,8325746
2012-10-22,73.63,74.2,72.25,73.16,5340475
2012-10-23,71.92,71.96,70.98,71.26,6442346
2012-10-24,71.67,71.79,69.75,70.09,6443349
2012-10-25,71.0,71.33,70.01,70.74,6077727
2012-10-26,70.74,71.04,69.9,70.1,4879170
2012-10-31,70.3,70.85,69.06,69.53,6977868
2012-11-01,69.77,70.25,68.6,70.15,6533813
2012-11-02,70.6,70.85,68.59,68.77,6240093
2012-11-05,68.65,70.18,68.63,69.95,5648186
2012-11-06,70.26,71.359,70.0255,71.15,6444626
2012-11-07,69.98,70.5615,69.32,70.13,7556830
2012-11-08,69.95,70.29,67.7,67.77,10201068
2012-11-09,67.5,69.46,67.32,68.37,6410317
2012-11-12,68.47,69.46,68.1,68.48,2780249
2012-11-13,67.71,70.0,67.5,69.07,7923371
2012-11-14,69.34,69.47,67.62,67.83,8249361
2012-11-15,67.8,69.45,67.69,69.16,7414654
2012-11-16,69.33,69.34,66.85,68.22,10051977
2012-11-19,68.95,70.7,68.84,70.69,6742442
2012-11-20,70.43,70.64,69.64,70.02,5425577
2012-11-21,70.33,70.5,69.73,70.21,3021361
2012-11-23,70.76,71.21,70.29,71.18,1730729
2012-11-26,70.21,70.57,69.93,70.43,3490084
2012-11-27,70.1,70.37,69.55,69.87,6397421
2012-11-28,69.47,70.8,68.91,70.73,6187686
2012-11-29,70.96,71.35,70.39,70.6,4465603
2012-11-30,70.54,71.89,70.4201,71.62,6505912
2012-12-03,72.0,72.489,70.87,71.02,6353379
2012-12-04,70.92,71.9745,70.74,71.22,4302061
2012-12-05,71.47,72.11,71.17,71.32,5416617
2012-12-06,71.11,71.61,70.71,71.5,4154298
2012-12-07,71.8,72.0,71.28,71.83,4348485
2012-12-10,71.72,72.3,71.55,72.0,3963457
2012-12-11,72.35,72.8,71.98,72.6,7017655
2012-12-12,73.13,73.51,72.49,72.79,9634172
2012-12-13,72.04,72.99,72.04,72.56,7116650
2012-12-14,69.9,70.0,67.6,68.91,27756178
2012-12-17,69.23,69.92,69.02,69.68,7851635
2012-12-18,69.46,71.78,69.3,71.35,8909526
2012-12-19,71.74,72.0,70.61,70.66,5797498
2012-12-20,70.14,71.53,70.0,71.1,5974104
2012-12-21,70.22,70.55,68.92,69.69,12509325
2012-12-24,69.55,69.89,68.95,69.28,2272050
2012-12-26,69.74,69.89,68.92,69.1,3373061
2012-12-27,69.09,69.29,68.26,69.17,5283222
2012-12-28,68.58,68.74,67.88,67.96,5635653
2012-12-31,67.87,69.35,67.64,69.2986,6375964
2013-01-02,70.8,71.41,70.12,71.4,6391333
2013-01-03,71.25,72.0,70.66,70.92,6062950
2013-01-04,71.33,72.22,71.042,72.01,5165313
2013-01-07,71.53,72.23,71.42,72.21,4104403
2013-01-08,71.94,72.6,71.5,72.51,5274849
2013-01-09,72.76,72.97,72.012,72.2,4626445
2013-01-10,72.7,73.25,72.54,73.25,5591138
2013-01-11,73.19,73.8,73.06,73.75,4106350
2013-01-14,73.39,73.77,72.54,72.77,4155015
2013-01-15,72.47,72.86,72.19,72.59,4285950
2013-01-16,72.53,73.63,72.53,73.22,4951914
2013-01-17,73.46,73.96,72.54,73.37,6510984
2013-01-18,73.95,76.73,73.5,76.5,14232697
2013-01-22,76.57,78.04,76.57,78.0,9649292
2013-01-23,77.79,78.62,77.36,78.17,7556797
2013-01-24,78.16,78.87,77.76,78.02,7167094
2013-01-25,78.63,79.8,78.1,79.51,7830771
2013-01-28,79.73,79.81,79.1,79.28,7152743
2013-01-29,79.04,79.99,78.78,79.95,6289520
2013-01-30,79.83,79.9,78.46,78.6,8795321
2013-01-31,78.44,78.79,77.55,78.05,5752199
2013-02-01,78.94,79.83,78.4,79.7,6225228
2013-02-04,79.1101,79.85,78.88,79.45,6620679
2013-02-05,79.82,80.43,79.5,80.16,5389378
2013-02-06,79.42,79.57,77.76,78.73,7131359
2013-02-07,78.86,79.21,77.82,78.0,6101369
2013-02-08,78.24,79.07,78.125,79.07,4632684
2013-02-11,78.56,78.85,77.81,77.93,4784921
2013-02-12,78.51,78.65,78.02,78.53,4646441
2013-02-13,78.49,78.73,78.25,78.63,3551983
2013-02-14,78.51,82.0,78.145,81.56,11691795
2013-02-15,81.03,81.22,79.5,80.03,8756222
2013-02-19,80.09,80.55,79.565,79.99,5098368
2013-02-20,80.07,80.2,78.47,78.53,6397047
2013-02-21,77.97,77.97,76.55,77.43,5789402
2013-02-22,77.93,78.1528,76.87,77.79,4085030
2013-02-25,78.36,78.95,75.74,75.83,6144194
2013-02-26,76.34,76.77,74.99,76.33,6506403
2013-02-27,76.21,78.18,75.98,77.9,4927038
2013-02-28,77.82,78.58,77.47,77.85,5398257
2013-03-01,77.35,77.92,76.92,77.64,4895042
2013-03-04,77.49,77.59,75.72,76.5,5077097
2013-03-05,77.24,77.6,76.28,76.95,8960176
2013-03-06,77.54,77.77,76.45,77.16,4648921
2013-03-07,77.2,78.0,77.1,77.82,3621248
2013-03-08,78.02,78.44,77.24,77.96,3916523
2013-03-11,77.57,77.86,77.12,77.78,4378387
2013-03-12,77.98,78.37,77.01,77.44,5544250
2013-03-13,77.71,77.83,77.24,77.39,3744489
2013-03-14,77.84,78.935,77.58,78.75,5634708
2013-03-15,78.48,79.735,78.48,79.4,8073457
2013-03-18,77.33,77.79,76.11,76.34,9343825
2013-03-19,76.63,76.63,73.01,73.98,14392423
2013-03-20,74.18,74.25,73.41,73.79,8933387
2013-03-21,73.32,74.01,73.25,73.44,6694441
2013-03-22,73.84,74.39,73.56,74.37,6402587
2013-03-25,74.72,74.95,73.36,73.86,5960045
2013-03-26,74.41,74.52,73.83,74.42,6184249
2013-03-27,73.89,75.27,73.55,75.1,5633160
2013-03-28,74.97,75.64,74.5,74.89,7270043
2013-04-01,75.08,75.23,73.36,74.02,5536502
2013-04-02,74.48,75.225,74.01,74.81,7298095
2013-04-03,74.82,75.15,73.51,74.01,9093265
2013-04-04,73.91,74.32,73.41,73.94,5457277
2013-04-05,73.09,74.49,72.7,74.35,4829192
